"ID","countryGPTMode","country","countryPartial","countryCF","countryPartialF"
71,"United States",NA,"United States",NA,"United States"
73,"Denmark",NA,"Denmark",NA,"Denmark"
75,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
77,"United Kingdom, England",NA,"United Kingdom, England",NA,"United Kingdom, England"
78,"Greece, Switzerland, Italy, United Kingdom, Czech Republic, Finland",NA,"Greece, Switzerland, Italy, United Kingdom, Czech Republic, Finland",NA,"Greece, Switzerland, Italy, United Kingdom, Czech Republic, Finland"
79,"Unknown",NA,"Unknown","United States","United States"
80,"United States",NA,"United States",NA,"United States"
81,"United States",NA,"United States",NA,"United States"
86,"Australia",NA,"Australia",NA,"Australia"
91,"Unknown","South Korea","South Korea",NA,"South Korea"
92,"Switzerland",NA,"Switzerland",NA,"Switzerland"
96,"Unknown","South Korea","South Korea",NA,"South Korea"
97,"Unknown","United States","United States",NA,"United States"
98,"Malaysia",NA,"Malaysia",NA,"Malaysia"
100,"China",NA,"China",NA,"China"
101,"China",NA,"China",NA,"China"
102,"South Korea",NA,"South Korea",NA,"South Korea"
103,"China",NA,"China",NA,"China"
104,"China",NA,"China",NA,"China"
106,"Australia, Brazil, China, Ghana, India, Iran, Italy, Norway, South Africa, United States",NA,"Australia, Brazil, China, Ghana, India, Iran, Italy, Norway, South Africa, United States",NA,"Australia, Brazil, China, Ghana, India, Iran, Italy, Norway, South Africa, United States"
107,"Vietnam",NA,"Vietnam",NA,"Vietnam"
108,"China",NA,"China",NA,"China"
111,"Macedonia, Serbia, Bosnia and Herzegovina, Montenegro",NA,"Macedonia, Serbia, Bosnia and Herzegovina, Montenegro",NA,"Macedonia, Serbia, Bosnia and Herzegovina, Montenegro"
113,"France",NA,"France",NA,"France"
114,"Italy",NA,"Italy",NA,"Italy"
115,"China",NA,"China",NA,"China"
116,"China",NA,"China",NA,"China"
117,"Brazil",NA,"Brazil",NA,"Brazil"
118,"China",NA,"China",NA,"China"
119,"Poland",NA,"Poland",NA,"Poland"
121,"China",NA,"China",NA,"China"
122,"China",NA,"China",NA,"China"
123,"Korea, China",NA,"Korea, China",NA,"Korea, China"
124,"Chile",NA,"Chile",NA,"Chile"
125,"India",NA,"India",NA,"India"
126,"Unknown",NA,"Unknown","Denmark","Denmark"
127,"Japan",NA,"Japan",NA,"Japan"
128,"China",NA,"China",NA,"China"
130,"United States",NA,"United States",NA,"United States"
131,"China",NA,"China",NA,"China"
132,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
133,"Unknown",NA,"Unknown","South Korea","South Korea"
134,"Taiwan",NA,"Taiwan",NA,"Taiwan"
135,"United States, India, China",NA,"United States, India, China",NA,"United States, India, China"
136,"China",NA,"China",NA,"China"
137,"China",NA,"China",NA,"China"
139,"Netherlands",NA,"Netherlands",NA,"Netherlands"
141,"United States",NA,"United States",NA,"United States"
142,"China",NA,"China",NA,"China"
144,"China",NA,"China",NA,"China"
145,"Unknown","South Korea","South Korea",NA,"South Korea"
146,"Vietnam",NA,"Vietnam",NA,"Vietnam"
147,"Spain",NA,"Spain",NA,"Spain"
148,"Italy",NA,"Italy",NA,"Italy"
149,"China",NA,"China",NA,"China"
151,"China",NA,"China",NA,"China"
152,"Singapore",NA,"Singapore",NA,"Singapore"
154,"Chile",NA,"Chile",NA,"Chile"
156,"United States",NA,"United States",NA,"United States"
158,"India",NA,"India",NA,"India"
159,"New Zealand",NA,"New Zealand",NA,"New Zealand"
160,"India",NA,"India",NA,"India"
163,"China",NA,"China",NA,"China"
164,"Unknown",NA,"Unknown","United States","United States"
166,"United States",NA,"United States",NA,"United States"
167,"China",NA,"China",NA,"China"
169,"China",NA,"China",NA,"China"
170,"China",NA,"China",NA,"China"
171,"China",NA,"China",NA,"China"
172,"China",NA,"China",NA,"China"
173,"China",NA,"China",NA,"China"
174,"Taiwan",NA,"Taiwan",NA,"Taiwan"
175,"Spain",NA,"Spain",NA,"Spain"
176,"China",NA,"China",NA,"China"
177,"Unknown","United States","United States",NA,"United States"
178,"China",NA,"China",NA,"China"
181,"China",NA,"China",NA,"China"
182,"China",NA,"China",NA,"China"
183,"China",NA,"China",NA,"China"
184,"China",NA,"China",NA,"China"
185,"United States",NA,"United States",NA,"United States"
186,"China",NA,"China",NA,"China"
188,"Italy",NA,"Italy",NA,"Italy"
189,"Australia",NA,"Australia",NA,"Australia"
190,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
191,"India",NA,"India",NA,"India"
192,"England, Wales, Pakistan",NA,"England, Wales, Pakistan",NA,"England, Wales, Pakistan"
193,"Unknown","Germany","Germany",NA,"Germany"
194,"China",NA,"China",NA,"China"
195,"Cambodia",NA,"Cambodia",NA,"Cambodia"
196,"Spain",NA,"Spain",NA,"Spain"
197,"Unknown",NA,"Unknown","United States","United States"
198,"China",NA,"China",NA,"China"
200,"China",NA,"China",NA,"China"
201,"India",NA,"India",NA,"India"
202,"China",NA,"China",NA,"China"
203,"Vietnam",NA,"Vietnam",NA,"Vietnam"
204,"China",NA,"China",NA,"China"
205,"China",NA,"China",NA,"China"
206,"Turkey",NA,"Turkey",NA,"Turkey"
207,"China",NA,"China",NA,"China"
209,"South Korea",NA,"South Korea",NA,"South Korea"
211,"China",NA,"China",NA,"China"
212,"China",NA,"China",NA,"China"
213,"Greece",NA,"Greece",NA,"Greece"
215,"Netherlands",NA,"Netherlands",NA,"Netherlands"
216,"China",NA,"China",NA,"China"
217,"Unknown","China","China",NA,"China"
218,"Germany",NA,"Germany",NA,"Germany"
219,"Unknown","China","China",NA,"China"
220,"United States",NA,"United States",NA,"United States"
221,"Unknown","China","China",NA,"China"
225,"China",NA,"China",NA,"China"
226,"China",NA,"China",NA,"China"
228,"Hong Kong",NA,"Hong Kong",NA,"Hong Kong"
229,"China",NA,"China",NA,"China"
230,"China",NA,"China",NA,"China"
232,"China",NA,"China",NA,"China"
233,"Iran",NA,"Iran",NA,"Iran"
234,"Pakistan",NA,"Pakistan",NA,"Pakistan"
235,"Unknown","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Iceland, Macedonia, Montenegro, Serbia, Turkey, Kosovo","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Iceland, Macedonia, Montenegro, Serbia, Turkey, Kosovo",NA,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Iceland, Macedonia, Montenegro, Serbia, Turkey, Kosovo"
237,"Egypt",NA,"Egypt",NA,"Egypt"
238,"Italy, Sweden",NA,"Italy, Sweden",NA,"Italy, Sweden"
239,"India, China",NA,"India, China",NA,"India, China"
240,"China",NA,"China",NA,"China"
241,"China",NA,"China",NA,"China"
244,"United States",NA,"United States",NA,"United States"
245,"Unknown","United States","United States",NA,"United States"
246,"Kyrgyzstan, Vietnam, Uganda",NA,"Kyrgyzstan, Vietnam, Uganda",NA,"Kyrgyzstan, Vietnam, Uganda"
247,"Poland",NA,"Poland",NA,"Poland"
248,"Taiwan",NA,"Taiwan",NA,"Taiwan"
252,"China",NA,"China",NA,"China"
253,"Malaysia",NA,"Malaysia",NA,"Malaysia"
254,"Canada",NA,"Canada",NA,"Canada"
255,"China",NA,"China",NA,"China"
256,"England",NA,"England",NA,"England"
258,"Australia, Hong Kong, United Kingdom",NA,"Australia, Hong Kong, United Kingdom",NA,"Australia, Hong Kong, United Kingdom"
259,"United States",NA,"United States",NA,"United States"
260,"Chile",NA,"Chile",NA,"Chile"
261,"England",NA,"England",NA,"England"
262,"China",NA,"China",NA,"China"
264,"China",NA,"China",NA,"China"
265,"China, United States, Australia",NA,"China, United States, Australia",NA,"China, United States, Australia"
266,"Iran",NA,"Iran",NA,"Iran"
267,"Singapore",NA,"Singapore",NA,"Singapore"
268,"China",NA,"China",NA,"China"
269,"China",NA,"China",NA,"China"
270,"China",NA,"China",NA,"China"
271,"Unknown",NA,"Unknown","Indonesia","Indonesia"
272,"Unknown",NA,"Unknown","United States","United States"
273,"Portugal",NA,"Portugal",NA,"Portugal"
275,"United States",NA,"United States",NA,"United States"
276,"The Netherlands",NA,"The Netherlands",NA,"The Netherlands"
277,"China",NA,"China",NA,"China"
278,"China",NA,"China",NA,"China"
279,"China",NA,"China",NA,"China"
280,"China",NA,"China",NA,"China"
281,"Singapore",NA,"Singapore",NA,"Singapore"
282,"China",NA,"China",NA,"China"
283,"Oman, China",NA,"Oman, China",NA,"Oman, China"
284,"South Korea",NA,"South Korea",NA,"South Korea"
285,"China",NA,"China",NA,"China"
286,"Unknown","Spain","Spain",NA,"Spain"
287,"China",NA,"China",NA,"China"
288,"Ireland",NA,"Ireland",NA,"Ireland"
290,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
291,"Pakistan",NA,"Pakistan",NA,"Pakistan"
292,"Unknown","exclude","exclude",NA,"exclude"
295,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
296,"China",NA,"China",NA,"China"
297,"South Korea",NA,"South Korea",NA,"South Korea"
298,"United States",NA,"United States",NA,"United States"
299,"Poland",NA,"Poland",NA,"Poland"
300,"Nepal",NA,"Nepal",NA,"Nepal"
301,"China",NA,"China",NA,"China"
303,"Thailand",NA,"Thailand",NA,"Thailand"
304,"China",NA,"China",NA,"China"
305,"Singapore, Indonesia",NA,"Singapore, Indonesia",NA,"Singapore, Indonesia"
306,"Germany",NA,"Germany",NA,"Germany"
307,"China",NA,"China",NA,"China"
308,"Taiwan",NA,"Taiwan",NA,"Taiwan"
309,"Malaysia",NA,"Malaysia",NA,"Malaysia"
311,"China",NA,"China",NA,"China"
312,"China",NA,"China",NA,"China"
314,"Japan",NA,"Japan",NA,"Japan"
315,"Taiwan",NA,"Taiwan",NA,"Taiwan"
317,"Pakistan",NA,"Pakistan",NA,"Pakistan"
319,"South Korea",NA,"South Korea",NA,"South Korea"
320,"Vietnam",NA,"Vietnam",NA,"Vietnam"
321,"Bangladesh",NA,"Bangladesh",NA,"Bangladesh"
322,"Malaysia",NA,"Malaysia",NA,"Malaysia"
323,"Malaysia",NA,"Malaysia",NA,"Malaysia"
324,"England",NA,"England",NA,"England"
325,"China",NA,"China",NA,"China"
326,"China",NA,"China",NA,"China"
328,"United States",NA,"United States",NA,"United States"
330,"France",NA,"France",NA,"France"
331,"Unknown","Finland","Finland",NA,"Finland"
332,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
333,"China",NA,"China",NA,"China"
334,"Singapore, China, United Kingdom, Canada",NA,"Singapore, China, United Kingdom, Canada",NA,"Singapore, China, United Kingdom, Canada"
336,"China",NA,"China",NA,"China"
337,"United States",NA,"United States",NA,"United States"
338,"United States",NA,"United States",NA,"United States"
340,"Canada",NA,"Canada",NA,"Canada"
341,"United States",NA,"United States",NA,"United States"
343,"Finland",NA,"Finland",NA,"Finland"
344,"Sweden",NA,"Sweden",NA,"Sweden"
345,"Unknown",NA,"Unknown","Sweden","Sweden"
346,"Unknown","United States","United States",NA,"United States"
347,"United States",NA,"United States",NA,"United States"
348,"China",NA,"China",NA,"China"
349,"Unknown","Canada","Canada",NA,"Canada"
350,"Vietnam",NA,"Vietnam",NA,"Vietnam"
351,"Unknown","Malaysia","Malaysia",NA,"Malaysia"
351,"Unknown","Malaysia","Malaysia",NA,"Malaysia"
353,"Unknown","Australia","Australia",NA,"Australia"
354,"Germany",NA,"Germany",NA,"Germany"
356,"Guatemala, India, Peru, Rwanda",NA,"Guatemala, India, Peru, Rwanda",NA,"Guatemala, India, Peru, Rwanda"
357,"Unknown",NA,"Unknown","South Korea","South Korea"
359,"Sweden",NA,"Sweden",NA,"Sweden"
360,"Bangladesh",NA,"Bangladesh",NA,"Bangladesh"
361,"Philippines",NA,"Philippines",NA,"Philippines"
362,"China",NA,"China",NA,"China"
363,"Ghana",NA,"Ghana",NA,"Ghana"
364,"Germany, Portugal",NA,"Germany, Portugal",NA,"Germany, Portugal"
365,"South Korea",NA,"South Korea",NA,"South Korea"
367,"Indonesia, Singapore, Malaysia, Brunei",NA,"Indonesia, Singapore, Malaysia, Brunei",NA,"Indonesia, Singapore, Malaysia, Brunei"
368,"China",NA,"China",NA,"China"
369,"China",NA,"China",NA,"China"
371,"Unknown","United States","United States",NA,"United States"
372,"China",NA,"China",NA,"China"
373,"China",NA,"China",NA,"China"
374,"Vietnam",NA,"Vietnam",NA,"Vietnam"
375,"Unknown","France","France",NA,"France"
376,"Unknown","United States","United States",NA,"United States"
377,"Jordan",NA,"Jordan",NA,"Jordan"
378,"South Africa",NA,"South Africa",NA,"South Africa"
381,"Chile",NA,"Chile",NA,"Chile"
382,"China",NA,"China",NA,"China"
383,"Poland",NA,"Poland",NA,"Poland"
385,"China",NA,"China",NA,"China"
386,"Indonesia",NA,"Indonesia",NA,"Indonesia"
388,"Iran",NA,"Iran",NA,"Iran"
389,"China",NA,"China",NA,"China"
390,"Mexico",NA,"Mexico",NA,"Mexico"
391,"China",NA,"China",NA,"China"
392,"Japan",NA,"Japan",NA,"Japan"
393,"Korea",NA,"Korea",NA,"Korea"
394,"China",NA,"China",NA,"China"
395,"Czech Republic",NA,"Czech Republic",NA,"Czech Republic"
396,"Hong Kong",NA,"Hong Kong",NA,"Hong Kong"
397,"Unknown","United States","United States",NA,"United States"
399,"Ethiopia",NA,"Ethiopia",NA,"Ethiopia"
400,"Unknown","United Kingdom","United Kingdom",NA,"United Kingdom"
401,"Bangladesh",NA,"Bangladesh",NA,"Bangladesh"
402,"Unknown",NA,"Unknown","Finland","Finland"
403,"Unknown",NA,"Unknown","United States","United States"
404,"China",NA,"China",NA,"China"
405,"Iran",NA,"Iran",NA,"Iran"
406,"Canada",NA,"Canada",NA,"Canada"
407,"United States",NA,"United States",NA,"United States"
408,"United States",NA,"United States",NA,"United States"
409,"Spain",NA,"Spain",NA,"Spain"
410,"Finland",NA,"Finland",NA,"Finland"
412,"China",NA,"China",NA,"China"
413,"Malaysia",NA,"Malaysia",NA,"Malaysia"
414,"China",NA,"China",NA,"China"
416,"Unknown",NA,"Unknown","Netherlands","Netherlands"
418,"Unknown","Hong Kong","Hong Kong",NA,"Hong Kong"
419,"Bangladesh",NA,"Bangladesh",NA,"Bangladesh"
420,"Thailand",NA,"Thailand",NA,"Thailand"
421,"Thailand",NA,"Thailand",NA,"Thailand"
422,"Turkey",NA,"Turkey",NA,"Turkey"
423,"Vietnam, Philippines",NA,"Vietnam, Philippines",NA,"Vietnam, Philippines"
424,"Mongolia",NA,"Mongolia",NA,"Mongolia"
425,"Poland",NA,"Poland",NA,"Poland"
426,"Germany",NA,"Germany",NA,"Germany"
427,"Unknown","Malaysia","Malaysia",NA,"Malaysia"
428,"Venezuela",NA,"Venezuela",NA,"Venezuela"
429,"Colombia",NA,"Colombia",NA,"Colombia"
431,"Mexico",NA,"Mexico",NA,"Mexico"
432,"China",NA,"China",NA,"China"
434,"France",NA,"France",NA,"France"
435,"France",NA,"France",NA,"France"
436,"Lebanon",NA,"Lebanon",NA,"Lebanon"
437,"USA",NA,"USA",NA,"USA"
438,"Colombia",NA,"Colombia",NA,"Colombia"
439,"South Africa",NA,"South Africa",NA,"South Africa"
440,"Colombia",NA,"Colombia",NA,"Colombia"
441,"Unknown","Thailand","Thailand",NA,"Thailand"
442,"Unknown",NA,"Unknown","Iran","Iran"
443,"Jordan",NA,"Jordan",NA,"Jordan"
446,"Mexico",NA,"Mexico",NA,"Mexico"
448,"Unknown",NA,"Unknown","Russia","Russia"
449,"Thailand",NA,"Thailand",NA,"Thailand"
450,"Indonesia",NA,"Indonesia",NA,"Indonesia"
451,"Malaysia",NA,"Malaysia",NA,"Malaysia"
453,"Guatemala",NA,"Guatemala",NA,"Guatemala"
454,"United States",NA,"United States",NA,"United States"
456,"Pakistan",NA,"Pakistan",NA,"Pakistan"
457,"Iran",NA,"Iran",NA,"Iran"
458,"Spain",NA,"Spain",NA,"Spain"
460,"United States",NA,"United States",NA,"United States"
461,"Taiwan, United States",NA,"Taiwan, United States",NA,"Taiwan, United States"
462,"Italy",NA,"Italy",NA,"Italy"
463,"Indonesia, Malaysia, Philippines, Thailand",NA,"Indonesia, Malaysia, Philippines, Thailand",NA,"Indonesia, Malaysia, Philippines, Thailand"
464,"China",NA,"China",NA,"China"
465,"Unknown","Latvia","Latvia",NA,"Latvia"
466,"Finland",NA,"Finland",NA,"Finland"
467,"Thailand",NA,"Thailand",NA,"Thailand"
469,"Italy",NA,"Italy",NA,"Italy"
470,"Unknown","exclude","exclude",NA,"exclude"
471,"Oman",NA,"Oman",NA,"Oman"
472,"Unknown","exclude","exclude",NA,"exclude"
473,"Thailand",NA,"Thailand",NA,"Thailand"
475,"India",NA,"India",NA,"India"
476,"Unknown","China","China",NA,"China"
477,"Unknown","China","China",NA,"China"
478,"South Africa",NA,"South Africa",NA,"South Africa"
479,"China",NA,"China",NA,"China"
480,"China",NA,"China",NA,"China"
481,"Taiwan",NA,"Taiwan",NA,"Taiwan"
483,"United States",NA,"United States",NA,"United States"
484,"China",NA,"China",NA,"China"
485,"Unknown","no info","no info",NA,"no info"
486,"China",NA,"China",NA,"China"
487,"Belgium, Ireland, Slovenia, UK",NA,"Belgium, Ireland, Slovenia, UK",NA,"Belgium, Ireland, Slovenia, UK"
488,"Colombia",NA,"Colombia",NA,"Colombia"
489,"United States",NA,"United States",NA,"United States"
490,"United States",NA,"United States",NA,"United States"
492,"Spain",NA,"Spain",NA,"Spain"
493,"China",NA,"China",NA,"China"
494,"Greece",NA,"Greece",NA,"Greece"
495,"Kazakhstan",NA,"Kazakhstan",NA,"Kazakhstan"
496,"South Korea",NA,"South Korea",NA,"South Korea"
497,"Thailand",NA,"Thailand",NA,"Thailand"
498,"United States",NA,"United States",NA,"United States"
499,"China",NA,"China",NA,"China"
500,"Mexico",NA,"Mexico",NA,"Mexico"
501,"Türkiye",NA,"Türkiye",NA,"Türkiye"
502,"China",NA,"China",NA,"China"
503,"Slovenia",NA,"Slovenia",NA,"Slovenia"
504,"China",NA,"China",NA,"China"
505,"Portugal",NA,"Portugal",NA,"Portugal"
506,"Unknown",NA,"Unknown","Finland","Finland"
508,"Unknown","exclude","exclude",NA,"exclude"
509,"Kosovo",NA,"Kosovo",NA,"Kosovo"
510,"Ecuador",NA,"Ecuador",NA,"Ecuador"
511,"China",NA,"China",NA,"China"
513,"Sweden",NA,"Sweden",NA,"Sweden"
514,"Italy",NA,"Italy",NA,"Italy"
515,"Mexico",NA,"Mexico",NA,"Mexico"
516,"China",NA,"China",NA,"China"
517,"United States",NA,"United States",NA,"United States"
518,"China",NA,"China",NA,"China"
519,"China",NA,"China",NA,"China"
521,"United States",NA,"United States",NA,"United States"
522,"France",NA,"France",NA,"France"
524,"Unknown",NA,"Unknown","Finland","Finland"
525,"Unknown","Finland","Finland",NA,"Finland"
526,"Unknown",NA,"Unknown","Finland","Finland"
527,"China",NA,"China",NA,"China"
528,"China",NA,"China",NA,"China"
529,"China",NA,"China",NA,"China"
530,"China",NA,"China",NA,"China"
531,"China",NA,"China",NA,"China"
532,"South Korea",NA,"South Korea",NA,"South Korea"
533,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
534,"China",NA,"China",NA,"China"
535,"United States",NA,"United States",NA,"United States"
536,"Mexico, United States",NA,"Mexico, United States",NA,"Mexico, United States"
537,"China, United States",NA,"China, United States",NA,"China, United States"
538,"Korea",NA,"Korea",NA,"Korea"
540,"Rwanda",NA,"Rwanda",NA,"Rwanda"
541,"China",NA,"China",NA,"China"
542,"South Korea",NA,"South Korea",NA,"South Korea"
544,"China",NA,"China",NA,"China"
545,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
547,"China",NA,"China",NA,"China"
548,"China",NA,"China",NA,"China"
549,"Lebanon",NA,"Lebanon",NA,"Lebanon"
550,"China",NA,"China",NA,"China"
551,"Poland",NA,"Poland",NA,"Poland"
552,"Korea",NA,"Korea",NA,"Korea"
553,"Taiwan",NA,"Taiwan",NA,"Taiwan"
554,"Portugal",NA,"Portugal",NA,"Portugal"
555,"China",NA,"China",NA,"China"
556,"China",NA,"China",NA,"China"
559,"United States",NA,"United States",NA,"United States"
560,"Colombia",NA,"Colombia",NA,"Colombia"
561,"United States",NA,"United States",NA,"United States"
562,"Canada",NA,"Canada",NA,"Canada"
564,"China",NA,"China",NA,"China"
567,"Brazil",NA,"Brazil",NA,"Brazil"
568,"South Korea",NA,"South Korea",NA,"South Korea"
569,"South Korea",NA,"South Korea",NA,"South Korea"
570,"China",NA,"China",NA,"China"
571,"China",NA,"China",NA,"China"
572,"Germany",NA,"Germany",NA,"Germany"
573,"Unknown",NA,"Unknown","South Korea","South Korea"
574,"Poland",NA,"Poland",NA,"Poland"
575,"China",NA,"China",NA,"China"
576,"Spain",NA,"Spain",NA,"Spain"
578,"Poland",NA,"Poland",NA,"Poland"
579,"Pakistan",NA,"Pakistan",NA,"Pakistan"
580,"Finland, Estonia",NA,"Finland, Estonia",NA,"Finland, Estonia"
581,"United Arab Emirates",NA,"United Arab Emirates",NA,"United Arab Emirates"
582,"Senegal",NA,"Senegal",NA,"Senegal"
584,"Romania",NA,"Romania",NA,"Romania"
586,"South Korea",NA,"South Korea",NA,"South Korea"
587,"Serbia",NA,"Serbia",NA,"Serbia"
588,"United Kingdom",NA,"United Kingdom",NA,"United Kingdom"
589,"Unknown",NA,"Unknown","China, Indonesia, Philippines, Singapore, Thailand, India, Japan,South Korea, Vietnam, Malaysia","China, Indonesia, Philippines, Singapore, Thailand, India, Japan,South Korea, Vietnam, Malaysia"
590,"China",NA,"China",NA,"China"
591,"China",NA,"China",NA,"China"
592,"China",NA,"China",NA,"China"
593,"China",NA,"China",NA,"China"
594,"China",NA,"China",NA,"China"
595,"Italy, Ireland",NA,"Italy, Ireland",NA,"Italy, Ireland"
596,"India",NA,"India",NA,"India"
599,"Benin",NA,"Benin",NA,"Benin"
600,"Japan",NA,"Japan",NA,"Japan"
601,"Lebanon",NA,"Lebanon",NA,"Lebanon"
602,"Unknown",NA,"Unknown","China","China"
603,"China",NA,"China",NA,"China"
604,"South Korea",NA,"South Korea",NA,"South Korea"
605,"South Korea",NA,"South Korea",NA,"South Korea"
607,"India",NA,"India",NA,"India"
608,"India",NA,"India",NA,"India"
609,"India",NA,"India",NA,"India"
610,"China",NA,"China",NA,"China"
611,"Slovenia",NA,"Slovenia",NA,"Slovenia"
612,"Malaysia",NA,"Malaysia",NA,"Malaysia"
613,"Singapore",NA,"Singapore",NA,"Singapore"
614,"Unknown","exclude","exclude",NA,"exclude"
615,"Greece",NA,"Greece",NA,"Greece"
616,"China",NA,"China",NA,"China"
624,"Malaysia",NA,"Malaysia",NA,"Malaysia"
625,"Turkey",NA,"Turkey",NA,"Turkey"
627,"Bahrain",NA,"Bahrain",NA,"Bahrain"
628,"Spain",NA,"Spain",NA,"Spain"
629,"Unknown",NA,"Unknown","China","China"
630,"India",NA,"India",NA,"India"
631,"Taiwan",NA,"Taiwan",NA,"Taiwan"
632,"Korea, China",NA,"Korea, China",NA,"Korea, China"
634,"Italy",NA,"Italy",NA,"Italy"
635,"Saudi Arabia",NA,"Saudi Arabia",NA,"Saudi Arabia"
636,"Unknown","India","India",NA,"India"
637,"Unknown","India","India",NA,"India"
638,"Japan",NA,"Japan",NA,"Japan"
640,"Mexico",NA,"Mexico",NA,"Mexico"
641,"Mexico",NA,"Mexico",NA,"Mexico"
642,"Poland",NA,"Poland",NA,"Poland"
643,"India",NA,"India",NA,"India"
644,"Unknown","Turkyie","Turkyie",NA,"Turkyie"
645,"United States",NA,"United States",NA,"United States"
646,"Iran, Australia, Hong Kong, United Kingdom",NA,"Iran, Australia, Hong Kong, United Kingdom",NA,"Iran, Australia, Hong Kong, United Kingdom"
648,"Unknown","no access","no access",NA,"no access"
649,"China",NA,"China",NA,"China"
650,"Italy",NA,"Italy",NA,"Italy"
651,"Unknown","India","India",NA,"India"
652,"Nigeria",NA,"Nigeria",NA,"Nigeria"
654,"Sweden",NA,"Sweden",NA,"Sweden"
655,"Sweden",NA,"Sweden",NA,"Sweden"
656,"Malaysia",NA,"Malaysia",NA,"Malaysia"
657,"Malaysia",NA,"Malaysia",NA,"Malaysia"
